seed,mcnemar_rf_lr_p
1000420511,0.75390625
499152301,0.548828125
688536362,1.0
1234038454,0.2265625
685452989,1.0
243629808,0.5810546875
841596393,0.5810546875
1856311470,1.0
961364451,0.2890625
1811639718,0.7744140625
1835951630,1.0
970021898,0.6072387695312499
1954517161,0.2890625
331084510,1.0
1481994005,0.34375
581292558,0.5810546875
1012892865,0.803619384765625
1195919109,0.1796875
521250289,0.75390625
211710181,0.14599609375
2131160640,0.79052734375
376508196,0.75390625
1948403874,0.0654296875
1662848086,0.7265625
2049983550,1.0
1443961132,0.4239501953125
1999349515,0.332305908203125
705028382,0.8145294189453125
39968343,0.3876953125
2016499828,0.453125
1166003583,0.266845703125
843398702,0.09228515625
1002805947,1.0
691085852,0.7265625
1329495198,1.0
162465428,0.6072387695312499
1029360124,1.0
56370281,1.0
1813029200,1.0
1405554892,1.0
1136689454,0.629058837890625
356626012,0.2265625
1198522255,0.803619384765625
1805224514,0.79052734375
2011557107,0.7265625
1592310989,0.75390625
1815393524,1.0
1258704557,0.03857421875
425788351,0.6072387695312499
829151846,1.0
1188740794,0.7744140625
613204215,0.79052734375
546529045,1.0
1083157914,1.0
310004858,0.625
1346163831,0.5810546875
1568245047,1.0
950259294,0.210113525390625
772837296,1.0
1171759820,1.0
1139380639,0.09228515625
843609677,1.0
1613739439,1.0
1088859277,1.0
441551343,0.30175781249999994
379360369,0.75390625
426305608,0.7744140625
1294741783,1.0
1449780367,0.2890625
1325714929,1.0
822279106,0.7744140625
1150142342,0.7265625
1047343939,1.0
406844130,0.5810546875
825050957,0.30175781249999994
2025535072,0.5810546875
1232300069,0.3876953125
227102828,0.629058837890625
1899157362,1.0
1928390491,0.5078125
2087821679,1.0
709595270,1.0
1801597570,0.79052734375
1170592958,0.5078125
908487648,1.0
1554872696,1.0
411943693,0.30175781249999994
737910704,0.7744140625
37712049,0.5078125
1085544713,0.6875
1322373617,1.0
22148426,0.09228515625
508385019,0.7265625
2038094783,1.0
634671828,0.79052734375
24080388,1.0
603244042,1.0
1825567586,0.79052734375
248258668,0.5810546875
658293511,1.0
1988663214,0.125
1925062923,1.0
805024699,1.0
1359485187,0.6072387695312499
738180241,0.548828125
880824605,0.125
586376467,1.0
832931710,1.0
2127849794,1.0
1658447484,0.03857421875
822093504,0.14599609375
109685794,1.0
351824806,1.0
148870994,0.14599609375
126394600,1.0
1655151580,0.2265625
1577546241,0.5810546875
2029824361,1.0
1253245875,1.0
1332028974,1.0
1866245106,0.629058837890625
317707154,0.75390625
795354056,0.803619384765625
1420339379,0.75390625
1430281142,0.454498291015625
2005889290,1.0
1427640728,0.237884521484375
2114793318,0.75390625
733217674,1.0
549189590,1.0
729217878,0.210113525390625
232922329,0.548828125
574016848,1.0
1866661942,0.75390625
124444330,0.5078125
1531687744,1.0
652937029,0.75390625
60380868,0.6875
1382065920,1.0
164112915,0.30175781249999994
1205352974,0.4239501953125
500489649,0.021484375
2086447388,1.0
2048041145,1.0
1971320033,0.4239501953125
382914975,1.0
1791512104,0.0390625
1862797683,0.548828125
465195516,1.0
694710589,1.0
1702875135,1.0
1566442517,0.1795654296875
1539505356,0.7744140625
632814474,1.0
267194829,0.548828125
367992052,1.0
1753796030,1.0
1135318254,1.0
1748540984,1.0
1108948082,1.0
1597924672,1.0
801887718,0.548828125
293706785,0.79052734375
795200094,0.14599609375
926309008,0.1795654296875
1457909968,0.7744140625
138878727,0.453125
1045402436,0.2265625
739301374,0.7744140625
1241377760,0.453125
1633560510,0.75390625
1791090970,0.1796875
1180623432,0.30175781249999994
1884402036,1.0
1282338478,1.0
344980260,0.75390625
159279776,1.0
989274362,1.0
910684199,0.210113525390625
236729447,1.0
1534563313,0.375
1787833989,0.8145294189453125
1300571525,1.0
388479340,0.548828125
447859711,1.0
627318937,0.5810546875
997404883,0.5078125
920266689,0.7265625
815143904,0.109375
1677590779,0.34375
619419499,1.0
956903266,0.79052734375
2140001075,0.03515625
1684706695,0.548828125
2037896791,0.5810546875
1914052653,1.0
804688912,0.75390625
1324994316,0.4239501953125
828119452,0.75390625
77130131,0.548828125
365114349,1.0
498312302,0.548828125
55949109,0.79052734375
1160756724,0.4239501953125
1996836179,0.332305908203125
1034748232,0.5078125
1954471998,1.0
1331835081,1.0
493796208,1.0
1727129404,1.0
1588239690,0.0390625
783075799,0.7744140625
807937774,1.0
4285588,0.5810546875
1957612846,1.0
555532119,0.0654296875
1678290822,0.5078125
1581954807,1.0
1253382037,0.09228515625
1604403642,0.7265625
47096696,1.0
346934632,1.0
2127937493,1.0
242472216,0.2890625
850938950,1.0
1022532191,1.0
494363095,0.210113525390625
1082128964,0.3876953125
756119351,0.7744140625
2009013514,1.0
555992931,0.2890625
281060043,1.0
1146655798,0.7265625
1766270426,1.0
336705009,0.6072387695312499
1564294630,0.30175781249999994
845411061,0.5078125
355169934,0.3876953125
1520814949,0.14599609375
360939816,1.0
2121446956,0.021484375
486724495,0.14599609375
653640597,0.2265625
1622355912,0.8238029479980469
735280853,0.5810546875
1309105810,0.1796875
262256801,0.1796875
1196626968,0.5810546875
1727603511,0.34375
328647659,0.021270751953125
305584278,0.34375
778766448,0.30175781249999994
236546543,0.2265625
784075577,1.0
1369367326,1.0
2042934959,0.237884521484375
1497458815,0.629058837890625
2063547538,0.34375
1593058516,0.012725830078125
1556593660,1.0
1582609970,0.7744140625
430110679,0.6875
527374511,0.3876953125
1748567602,1.0
953877109,0.548828125
839521879,0.34375
1026494031,1.0
514642807,1.0
1132877136,1.0
802566323,0.6072387695312499
2006837469,0.6072387695312499
1533569987,0.057373046875
1396119977,1.0
889799492,0.7744140625
442529920,0.3876953125
1980156541,1.0
19464815,0.5078125
1732931615,0.3876953125
1987691257,1.0
551909294,1.0
2064579328,0.30175781249999994
